AAVERIADOS;ALIBRES;AUSADOS;BAVERIADAS;BLIBRES;ESTADO;ID;LATITUD;LONGITUD;NOMBRE
1;12;2;0;2;COMUNICA;3001;43.281575;-2.962019;01-PLAZA LEVANTE
2;10;8;0;8;COMUNICA;3002;43.269818779081106;-2.949229376390576;02-IRUÑA
0;9;11;0;11;COMUNICA;3003;43.264402;-2.922888;03-AYUNTAMIENTO
2;24;9;0;9;COMUNICA;3004;43.259518006816506;-2.924382984638214;04-PLAZA ARRIAGA
0;9;6;0;6;COMUNICA;3005;43.25016522780061;-2.930786171928048;05-SANTIAGO COMPOSTELA
0;9;6;0;6;COMUNICA;3006;43.25221803970635;-2.945522982627153;06-PLAZA REKALDE
0;13;2;0;2;COMUNICA;3007;43.258031;-2.943918;07-DR. AREILZA
0;20;0;0;0;COMUNICA;3008;43.2618788536638;-2.949357703328133;08-ZUNZUNEGI
0;11;4;0;4;COMUNICA;3009;43.27518554404378;-2.974011227488518;09-ASTILLERO
1;10;4;0;4;ALARMAS;3010;43.261380130425096;-2.933957800269127;10-EGUILLOR
1;7;7;0;7;COMUNICA;3011;43.26581323519349;-2.945251492783427;11-S.  CORAZON
0;15;0;0;0;COMUNICA;3012;43.260344;-2.940047;12-PLAZA INDAUTXU
1;13;6;0;6;COMUNICA;3013;43.26725517399609;-2.939507877454162;13-LEHENDAKARI LEIZAOLA
0;9;6;0;6;COMUNICA;3014;43.243415700271726;-2.925199214369059;14-CAMPA IBAIZABAL
0;12;3;0;3;COMUNICA;3015;43.252985486760736;-2.919695656746626;15-POLID. ATXURI
1;13;1;0;1;COMUNICA;3016;43.271675;-2.944672;16-SAN PEDRO
0;4;11;0;11;COMUNICA;3017;43.254041941836476;-2.912681261077523;17-KARMELO
0;9;6;0;6;COMUNICA;3018;43.24805634096265;-2.907228749245405;18-BOLUETA
0;9;1;0;1;COMUNICA;3019;43.259429;-2.900386;19-OTXARKOAGA
0;15;0;0;0;COMUNICA;3020;43.26557777777778;-2.9607583333333336;20-OLABEAGA
0;15;0;0;0;COMUNICA;3021;43.27433333333333;-2.9583861111111114;21-SARRIKO
0;9;6;0;6;COMUNICA;3022;43.26426111111111;-2.932786111111111;22-HEROS
1;13;1;0;1;COMUNICA;3023;43.257931;-2.935669;23-EGAÑA
0;8;7;0;7;COMUNICA;3024;43.261066666666665;-2.9168944444444445;24-P.ETXEBARRIA
0;8;7;0;7;COMUNICA;3025;43.256858333333334;-2.9072277777777775;25-TXOMIN GARAT
3;14;3;0;3;ALARMAS;3027;43.260859;-2.926981;26-ABANDO
0;6;9;0;9;COMUNICA;3028;43.249299;-2.94647;27-ESTRADA CALEROS
1;16;3;0;3;COMUNICA;3029;43.26685555555555;-2.927094444444444;28-EPALZA
1;13;6;0;6;COMUNICA;3030;43.254016666666665;-2.938486111111111;29-IRALA
0;19;1;0;1;COMUNICA;3032;43.255964;-2.927757;31-C.MARIA
